"admission","gre","gpa","priority"
0,38,3.61,3
1,66,3.67,3
1,80,4,1
1,64,3.19,4
0,52,2.93,4
1,76,3,2
1,56,2.98,1
0,40,3.08,2
1,54,3.39,3
0,70,3.92,2
0,80,4,4
0,44,3.22,1
1,76,4,1
0,70,3.08,2
1,70,4,1
0,48,3.44,3
0,78,3.87,4
0,36,2.56,3
0,80,3.75,2
1,54,3.81,1
0,50,3.17,3
1,66,3.63,2
0,60,2.82,4
0,68,3.19,4
1,76,3.35,2
1,80,3.66,1
1,62,3.61,1
1,52,3.74,4
1,78,3.22,2
0,52,3.29,1
0,54,3.78,4
0,76,3.35,3
0,60,3.4,3
1,80,4,3
0,36,3.14,1
0,40,3.05,2
0,58,3.25,1
0,52,2.9,3
1,50,3.13,2
1,52,2.68,3
0,56,2.42,2
1,58,3.32,2
1,60,3.15,2
0,50,3.31,3
0,70,2.94,2
1,46,3.45,3
1,58,3.46,2
0,50,2.97,4
0,44,2.48,4
0,40,3.35,3
0,64,3.86,3
0,44,3.13,4
0,74,3.37,4
1,68,3.27,2
0,66,3.34,3
1,74,4,3
0,56,3.19,3
0,38,2.94,3
0,40,3.65,2
0,60,2.82,4
1,62,3.18,2
0,56,3.32,4
0,64,3.67,3
1,68,3.85,3
0,58,4,3
0,60,3.59,2
0,74,3.62,4
0,62,3.3,1
0,58,3.69,1
0,80,3.73,1
0,64,4,3
0,30,2.92,4
0,48,3.39,4
0,58,4,2
0,72,3.45,4
0,72,4,3
0,56,3.36,3
1,80,4,3
0,54,3.12,1
1,62,4,1
0,70,2.9,4
0,62,3.07,2
0,50,2.71,2
0,38,2.91,4
1,50,3.6,3
0,52,2.98,2
0,60,3.32,2
0,60,3.48,2
0,70,3.28,1
1,66,4,2
0,70,3.83,2
1,72,3.64,1
0,80,3.9,2
0,58,2.93,2
1,66,3.44,2
0,66,3.33,2
0,64,3.52,4
0,48,3.57,2
0,70,2.88,2
0,40,3.31,3
0,34,3.15,3
0,58,3.57,3
0,38,3.33,4
0,54,3.94,3
1,66,3.95,2
1,74,2.97,2
1,70,3.56,1
