lipid.species	oddsratio	p.value
14:0 766 TAG C44	1.03	0.782
14:0 796 TAG C46	1.03	0.808
14:0 798 TAG C46	1.09	0.478
14:0 818 TAG C48	0.85	0.196
14:0 822 TAG C48	0.94	0.609
14:0 842 TAG C50	0.87	0.264
14:0 850 TAG C50	0.91	0.428
14:0 868 TAG C52	0.76	0.0292
14:0 870 TAG C52	0.79	0.0578
14:0 872 TAG C52	0.85	0.176
14:0 874 TAG C52	0.81	0.0938
14:0 876 TAG C52	0.93	0.555
14:1 794 TAG C46	0.95	0.692
14:1 816 TAG C48	0.98	0.839
14:1 820 TAG C48	0.89	0.346
14:1 822 TAG C48	1	0.992
14:1 840 TAG C50	1.48	0.00223
14:1 842 TAG C50	1.39	0.00842
14:1 844 TAG C50	0.84	0.173
14:1 846 TAG C50	0.87	0.27
14:1 848 TAG C50	0.91	0.459
14:1 850 TAG C50	0.94	0.592
16:0 790 TAG C46	0.91	0.433
16:0 792 TAG C46	0.95	0.646
16:0 798 TAG C46	1.03	0.827
16:0 818 TAG C48	0.85	0.183
16:0 824 TAG C48	1.03	0.784
16:0 848 TAG C50	1.02	0.889
16:0 872 TAG C52	0.97	0.792
16:0 876 TAG C52	1.03	0.812
16:0 896 TAG C52	0.82	0.12
16:0 906 TAG C52	0.95	0.695
16:0 922 TAG C54	0.7	0.00568
16:0 926 TAG C54	0.95	0.704
16:0 928 TAG C54	0.92	0.496
16:1 816 TAG C48	0.83	0.127
16:1 824 TAG C48	1	0.972
16:1 842 TAG C50	0.92	0.478
16:1 868 TAG C52	0.89	0.349
16:1 870 TAG C52	0.9	0.374
16:1 874 TAG C52	0.92	0.528
16:1 878 TAG C52	0.89	0.331
16:1 896 TAG C54	0.89	0.368
16:1 900 TAG C54	0.87	0.268
16:1 902 TAG C54	0.84	0.149
16:2 820 TAG C48	0.95	0.665
16:2 844 TAG C50	0.78	0.0553
16:2 870 TAG C52	0.78	0.0457
16:2 872 TAG C52	0.83	0.146
16:2 874 TAG C52	0.9	0.397
18:0 822 TAG C48	0.91	0.437
18:0 826 TAG C48	1.01	0.933
18:0 846 TAG C50	0.94	0.584
18:0 854 TAG C50	0.99	0.917
18:0 872 TAG C52	0.92	0.478
18:0 874 TAG C52	0.86	0.214
18:0 880 TAG C52	1.02	0.855
18:0 882 TAG C52	1.02	0.875
18:0 898 TAG C54	1.07	0.556
18:0 900 TAG C54	0.94	0.604
18:0 922 TAG C56	1.08	0.547
18:0 924 TAG C56	0.85	0.177
18:0 928 TAG C56	0.84	0.154
18:0 930 TAG C56	0.99	0.913
18:1 792 TAG C46	0.97	0.797
18:1 820 TAG C48	0.9	0.411
18:1 844 TAG C50	0.82	0.118
18:1 848 TAG C50	0.97	0.81
18:1 852 TAG C50	1.01	0.942
18:1 874 TAG C52	0.98	0.861
18:1 878 TAG C52	1.03	0.841
18:1 880 TAG C52	1.03	0.827
18:1 896 TAG C54	0.94	0.611
18:1 898 TAG C54	0.96	0.754
18:1 902 TAG C54	0.99	0.922
18:1 922 TAG C56	0.74	0.0159
18:1 924 TAG C56	0.88	0.317
18:1 928 TAG C56	0.91	0.426
18:1 932 TAG C56	0.86	0.237
18:2 790 TAG C46	0.97	0.771
18:2 816 TAG C48	0.89	0.354
18:2 820 TAG C48	0.89	0.34
18:2 822 TAG C48	1.01	0.955
18:2 844 TAG C50	0.84	0.155
18:2 848 TAG C50	0.98	0.9
18:2 894 TAG C54	0.89	0.355
18:2 904 TAG C54	0.92	0.496
18:2 920 TAG C56	0.73	0.0146
18:2 922 TAG C56	0.84	0.159
18:2 926 TAG C56	0.87	0.264
18:2 930 TAG C56	0.81	0.0964
20:0 852 TAG C50	0.91	0.463
20:0 872 TAG C52	0.96	0.766
20:0 874 TAG C52	0.94	0.63
20:0 876 TAG C52	0.98	0.85
20:0 878 TAG C52	0.88	0.322
20:0 880 TAG C52	0.92	0.498
20:0 882 TAG C52	1.21	0.119
20:0 902 TAG C54	0.88	0.288
20:0 906 TAG C54	0.89	0.346
20:0 926 TAG C56	0.97	0.825
20:0 928 TAG C56	0.85	0.206
20:0 934 TAG C56	0.87	0.254
20:1 848 TAG C50	0.93	0.548
20:1 850 TAG C50	0.91	0.433
20:1 872 TAG C52	1.03	0.817
20:1 874 TAG C52	0.86	0.222
20:1 876 TAG C52	0.84	0.17
20:1 878 TAG C52	0.95	0.669
20:1 900 TAG C54	0.85	0.195
20:1 906 TAG C54	0.86	0.223
20:1 926 TAG C56	0.93	0.547
20:1 932 TAG C56	0.94	0.609
20:2 846 TAG C50	0.94	0.617
20:2 872 TAG C52	0.9	0.382
20:2 876 TAG C52	0.99	0.912
20:2 898 TAG C54	0.9	0.411
20:2 900 TAG C54	0.91	0.439
20:2 904 TAG C54	0.96	0.711
20:2 926 TAG C56	0.9	0.375
20:2 928 TAG C56	0.98	0.884
20:2 930 TAG C56	0.92	0.48
20:3 872 TAG C52	0.96	0.767
20:3 896 TAG C54	0.91	0.454
20:3 902 TAG C54	1.02	0.885
20:3 922 TAG C56	0.93	0.536
20:3 924 TAG C56	1.02	0.875
20:4 874 TAG C52	0.85	0.199
20:4 894 TAG C54	0.81	0.102
20:4 898 TAG C54	0.95	0.698
20:4 918 TAG C56	0.86	0.221
20:4 920 TAG C56	0.94	0.592
20:4 922 TAG C56	0.88	0.324
20:4 928 TAG C56	0.85	0.19
22:0 956 TAG C58	1	0.979
22:1 898 TAG C54	0.92	0.481
22:1 900 TAG C54	1.07	0.567
22:1 906 TAG C54	1.11	0.4
22:1 930 TAG C56	0.92	0.504
22:1 932 TAG C56	0.92	0.518
22:1 956 TAG C58	0.87	0.247
22:3 930 TAG C56	1.26	0.0625
22:5 896 TAG C54	0.74	0.0195
22:5 900 TAG C54	0.89	0.327
22:5 920 TAG C56	0.74	0.0171
22:5 926 TAG C56	0.91	0.452
22:6 894 TAG C54	0.69	0.00381
CE 14:0	0.96	0.74
CE 14:1	0.92	0.495
CE 16:0	1.07	0.557
CE 16:1	1.11	0.418
CE 18:0	0.99	0.904
CE 18:2	1.06	0.651
CE 18:3	1.16	0.236
CE 20:4	0.92	0.526
CE 22:6	0.71	0.00769
Cer 16:0	1.35	0.0167
Cer 16:0 hexosyl	1.07	0.58
Cer 16:0 lactosyl	0.87	0.242
Cer 18:0	1.13	0.305
Cer 20:0	1.24	0.0839
Cer 22:0	1.09	0.506
Cer 22:0 hexosyl	1.13	0.319
Cer 22:0 lactosyl	0.89	0.352
Cer 23:0	0.95	0.653
Cer 24:0	1.12	0.349
Cer 24:0 hexosyl	1.07	0.589
Cer 24:1	0.95	0.672
Cer 24:1 hexosyl	1.06	0.626
DAG 32:0 NL 16:0	1.21	0.127
DAG 32:1 NL 16:0	1.12	0.376
DAG 32:1 NL 16:1	0.96	0.77
DAG 32:2 NL 16:1	0.82	0.111
DAG 34:0 NL 16:0	1.13	0.325
DAG 34:0 NL 18:0	1.1	0.423
DAG 34:1 NL 16:0	1.11	0.388
DAG 34:2 NL 16:0	1.05	0.706
DAG 34:2 NL 16:1	0.89	0.36
DAG 36:0 NL 18:0	1.09	0.493
DAG 36:1 NL 18:1	1.04	0.724
DAG 36:2 NL 18:0	1.03	0.809
DAG 36:2 NL 18:2	0.97	0.803
DAG 36:4 NL 18:1	0.91	0.45
DAG 36:4 NL 18:2	0.81	0.085
DAG 36:4 NL 18:3	1.03	0.797
LPC 14:0	0.57	4.42e-05
LPC 16:0	0.76	0.0296
LPC 16:1	0.74	0.0174
LPC 17:0	0.66	0.00144
LPC 18:0	0.73	0.0153
LPC 18:1	0.83	0.126
LPC 18:2	0.67	0.00236
LPC 20:2	0.8	0.0702
LPC 20:3	0.74	0.0167
LPC 20:4	0.73	0.0131
LPC 22:4	0.96	0.714
LPC 22:5	0.69	0.00417
LPC 22:6	0.58	7.91e-05
LPE 16:0 454.3	0.88	0.294
LPE 18:1 480.3	1.06	0.655
LPE 18:2 478.3	1.02	0.898
PC 28:1	0.97	0.839
PC 28:2	0.93	0.599
PC 28:4	1.06	0.657
PC 28:5	1.15	0.264
PC 28:6	1.15	0.257
PC 30:0	1.14	0.299
PC 30:1	1.13	0.35
PC 32:0	1.41	0.00738
PC 32:1	1.17	0.222
PC 32:2	0.78	0.084
PC 32:3	0.84	0.178
PC 32:4	0.97	0.809
PC 34:0	1.5	0.00167
PC 34:2	1.6	0.000183
PC 34:3	1.21	0.124
PC 34:4	0.94	0.645
PC 34:5	0.74	0.0156
PC 34:6	1.79	2.03e-05
PC 36:0	1.36	0.0161
PC 36:1	1.43	0.00554
PC 36:2	1.58	0.000428
PC 36:3	1.48	0.00234
PC 36:5	0.87	0.269
PC 36:6	0.88	0.31
PC 38:2	1.13	0.33
PC 38:3	1.08	0.551
PC 38:4	1.02	0.863
PC 38:5	0.9	0.379
PC 38:6	0.79	0.0563
PC 40:0	1.35	0.0165
PC 40:1	1.32	0.0282
PC 40:2	1.3	0.0386
PC 40:4	0.99	0.909
PC 40:5	0.93	0.536
PC 40:6	0.83	0.125
PC 42:0	1.23	0.0958
PC 42:1	1.5	0.00165
PC 42:2	1.25	0.0762
PC 42:3	1.14	0.295
PC 42:4	1.04	0.745
PC 42:5	0.9	0.396
PC 42:6	0.78	0.0465
PE 34:1 p:1 702.6	1.36	0.0147
PE 34a:0 720.6	1.13	0.325
PE 34a:1 718.6	1.37	0.0131
PE 34a:3 714.6	1.34	0.02
PE 36:0 p:0 732.6	1.33	0.0247
PE 36:1 p:1 730.6	1.4	0.00765
PE 36:2 p:2 728.6	1.44	0.00429
PE 36:3 p:3 726.6	0.91	0.444
PE 36:5 738.6	1.29	0.0417
PE 36a:0 748.6	1.12	0.38
PE 36a:2 744.6	1.31	0.032
PE 36a:4 740.6	1.3	0.0391
